why not,i could start with your haircut but it doesn't matter she's not allowed to date until her older sister does and that's an impossibility
why do girls like that always like guys like that,because they're bred to their mothers liked guys like that and their grandmothers before them their gene pool is rarely diluted
because they're bred to their mothers liked guys like that and their grandmothers before them their gene pool is rarely diluted,he always have that crap eating grin
he always have that crap eating grin,Joey Dorsey permanent crap grin i wish i could say he's a moron but he's number twelve in the class and a model mostly regional stuff but he's rumored to have a big tube sock and coming out
you know french,sure do my mom's from Canada
sure do my mom's from Canada,guess who just signed up for a tutor
guess who just signed up for a tutor,you mean i'd get a chance to talk to her
you mean i'd get a chance to talk to her,you could consecrate with her my friend
yeah just a minor encounter with the shrew,that's her Bianca's sister
that's her Bianca's sister,the mewling wretch herself
i teach her french get to know her dazzle her with charm and she falls in love with me,unlikely but even so she still can't go out with you so what's the point
what about him,you wanna go out with him
what makes you think he'll do it,he seems like he thrives on danger
he seems like he thrives on danger,no kidding he's a criminal i heard he lit a state trooper on fire he just got out of Alcatraz
no kidding he's a criminal i heard he lit a state trooper on fire he just got out of Alcatraz,they always let felons sit in on honors biology
they always let felons sit in on honors biology,i'm serious man he's whacked he sold his own liver on the black market so he could buy new speakers
i'm serious man he's whacked he sold his own liver on the black market so he could buy new speakers,forget his reputation do you think we've got a plan or not
forget his reputation do you think we've got a plan or not,did she actually say she'd go out with you
did she actually say she'd go out with you,that's what i just said
you know if you do go out with Bianca you'd be set you'd outrank everyone strictly a list with me by your side,i thought you hated those people
i thought you hated those people,hey i've gotta have a few clients when i get to wall street
you got him involved,like we had a choice besides when you let the enemy think he's orchestrating the battle you're in a position of power we let him pretend he's calling the shots and while he's busy setting up the plan you have time to impress Bianca
this is it a golden opportunity Patrick can ask Katarina to the party,in that case we'll need to make it a school wide blow out
in that case we'll need to make it a school wide blow out,will Bogey get bent
will Bogey get bent,are you kidding he'll piss himself with joy he's the ultimate kiss ass
number one she hates smokers,it's a lung cancer issue
it's a lung cancer issue,her favorite uncle
her favorite uncle,dead at forty one
he's pretty,okay i wasn't sure
assail your ears for one night,it's her favorite band
you told me that part already,hell i've just been going over the whole thing in my head
extremely unfortunate maneuver,the hell is that what kind of guy just picks up a girl and carries her away while you're talking to her
the hell is that what kind of guy just picks up a girl and carries her away while you're talking to her,but hey you're making progress
but hey you're making progress,no i'm not
you humiliated the woman sacrifice yourself on the altar of dignity and even the score,best case scenario you're back on the payroll for awhile
and he means that strictly in a non prison movie type of way,yeah we'll see
what've you got for me,i've retrieved certain pieces of information on miss Katarina Stratford i think you'll find helpful
okay likes thai food feminist prose and angry stinky girl music of the indie rock persuasion,so what does that give me i'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments
giggle puss is playing there tomorrow night,don't make me do it man
Cameron i'm a little busy,it's off the whole thing
what are you talking about,she's partial to Joey not me
Cameron do you like the girl,sure
sure,then go get her
what'd you do to her,i don't know i decided not to nail her when she was too drunk to remember it
she hates you with the fire of a thousand suns that's a direct quote,she just needs time to cool off i'll give it a day
you making any headway,she kissed me
she kissed me,where
what's the worst,you get the girl
the vintage look is over Kat haven't you been reading your sassy,yeah and i noticed the only part of you featured in your big Kmart spread was your elbow tough break
yeah and i noticed the only part of you featured in your big Kmart spread was your elbow tough break,they're running the rest of me next month
hey do you mind,not at all
where are you going,away
away,your sister here
leave my sister alone,and why would i do that
yeah,what do you think
two legs nice rack,yeah whatever i want you to go out with her
yeah whatever i want you to go out with her,sure sparky i'll get right on it
sure sparky i'll get right on it,you just said
you just said,you need money to take a girl out
you need money to take a girl out,but you'd go out with her if you had the cake
you got it Verona i pick up the tab you do the honors,you're going pay me to take out some girl
you're going pay me to take out some girl,i can't date her sister until that one gets a boyfriend and that's the catch she doesn't want a boyfriend
i can't date her sister until that one gets a boyfriend and that's the catch she doesn't want a boyfriend,how much
i can't take a girl like that out on twenty bucks,fine thirty
take it or leave it this isn't a negotiation,fifty and you've got your man
when i shell out fifty i expect results,i'm on it
i'm on it,watching the bitch trash my car doesn't count as a date
watching the bitch trash my car doesn't count as a date,i got her under control she just acts crazy in public to keep up the image
i just upped my price,what
what,a hundred bucks a date
a hundred bucks a date,forget it
forget it,forget her sister then
it's about time,a deal's a deal
how'd you do it,do what
do what,get her to act like a human
i don't know Dorsey the limo the flowers another hundred for the tux,enough with the barbie shit i know
hey,are you lost
are you lost,nope just came by to chat
nope just came by to chat,we don't chat
we don't chat,well actually i thought i'd run an idea by you you know just to see if you're interested
well actually i thought i'd run an idea by you you know just to see if you're interested,we're not
but she can't go out with you because her sister is this insane head case and no one will go out with her right,does this conversation have a purpose
does this conversation have a purpose,so what you need to do is recruit a guy who'll go out with her someone who's up for the job
i hear you're helping Verona,uh yeah we're old friend
uh yeah we're old friend,you and Verona
you and verona,what we took bathes together when we were kids
you better not fuck this up i'm heavily invested,hey it's all for the higher good right
who's that,Patrick Verona random kid
Patrick Verona random kid,that's Patrick Verona the one who was gone for a year i heard he was doing porn movies
that's Patrick Verona the one who was gone for a year i heard he was doing porn movies,i'm sure he's completely incapable of doing anything that interesting
i'm sure he's completely incapable of doing anything that interesting,he always look so
he always look so,blocky
Mandella eat starving yourself is a very slow way to die,just a little
what's this,an attempted slit
i realize that the men of this fine institution are severely lacking but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions you're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy,but imagine the things he'd say during sex
the people at this school are so incredibly foul,you could always go with me i'm sure William has some friends
so he has this huge raging fit about Sarah Lawrence and insists that i go to his male dominated puking frat boy number one golf team school i have no say at all,William would never have gone to a state school
William would never have gone to a state school,William didn't even go to high school
William didn't even go to high school,that's never been proven
that's never been proven,neither has his heterosexuality
i appreciate your efforts toward a speedy death but i'm consuming do you mind,does it matter
does it matter,if i was Bianca it would be any school you want precious don't forget your tiara
you think this'll work,no fear
what'd he say,who cares
you went to the party i thought we were officially opposed to suburban social activity,i didn't have a choice
i didn't have a choice,you didn't have a choice where's Kat and what have you done with her
you didn't have a choice where's Kat and what have you done with her,i did Bianca a favor and it backfired
i did Bianca a favor and it backfired,you didn't
you didn't,i got drunk i puked i got rejected it was big fun
can you even imagine who the hell would go to this a bastion of commercial excess,well i guess we're not since we don't have dates
well i guess we're not since we don't have dates,listen to you you sound like betty all pissed off because Archie is taking Veronica
listen to you you sound like betty all pissed off because Archie is taking Veronica,okay okay we won't go it's not like i have a dress anyway
okay okay we won't go it's not like i have a dress anyway,you're looking at this from the wrong perspective we're making a statement
you're looking at this from the wrong perspective we're making a statement,oh good something new and different for us
have you seen him,who
who,William he asked me to meet him here
William he asked me to meet him here,oh honey tell me we haven't progressed to full on hallucinations
i mean woman how are you doing,sweating like a pig actually and yourself
sweating like a pig actually and yourself,there's a way to get a guy's attention
there's a way to get a guy's attention,my mission in life
pick you up Friday then,oh right Friday
the night i take you to places you've never been before and back,like where the eleven on burnside do you even know my name screw boy
like where the eleven on burnside do you even know my name screw boy,i know a lot more than that
you hate me don't you,i don't really think you warrant that strong an emotion
i don't really think you warrant that strong an emotion,then say you'll spend dollar night at the track with me
then say you'll spend dollar night at the track with me,and why would i do that
and why would i do that,come on the ponies the flat beer you with money in your eyes me with my hand on your ass
come on the ponies the flat beer you with money in your eyes me with my hand on your ass,you covered in my vomit
you covered in my vomit,seven thirty
are you following me,i was in the laundromat i saw your car thought i'd say hi
i was in the laundromat i saw your car thought i'd say hi,hi
you're not a big talker are you,depends on the topic my fenders don't really whip me into a verbal frenzy
excuse me,that's what you want isn't it
that's what you want isn't it,do you mind you're sort of ruining it for me
you know these guys are no bikini kill or the raincoats but they're right up there,you know who the raincoats are
you know who the raincoats are,why don't you
what's this,i'm getting trashed man isn't that what you're supposed to do at a party
i'm getting trashed man isn't that what you're supposed to do at a party,i say do what you want to do
i say do what you want to do,funny you're the only one
okay,i'm fine i'm
you're not okay,i just need to lie down for awhile
i just need to lie down for awhile,you lie down and you'll go to sleep
you lie down and you'll go to sleep,i know just let me sleep
i know just let me sleep,what if you have a concussion my dog went to sleep with a concussion and woke up a vegetable not that i could tell the difference
this is so patronizing,leave it to you to use big words when you're shit faced
leave it to you to use big words when you're shit faced,why're you doing this
why re you doing this,i told you
i told you,you don't care if i die
you don't care if i die,sure i do
sure i do,why
why,because then i'd have to start taking out girls who like me
because then i'd have to start taking out girls who like me,like you could find one
like you could find one,see that who needs affection when i've got blind hatred
see that who needs affection when i've got blind hatred,just let me sit down
why'd you let him get to you,who
who,Dorsey
Dorsey,i hate him
i hate him,i know it'd have to be a pretty big deal to get you to mainline tequila you don't seem like the type
i know it'd have to be a pretty big deal to get you to mainline tequila you don't seem like the type,hey man you don't think i can be cool you don't think i can be laid back like everyone else
hey man you don't think i can be cool you don't think i can be laid back like everyone else,i thought you were above all that
i thought you were above all that,you know what they say
Kat wake up,what
and i'm in control of it,but it's giggle puss i know you like them i saw you there
when you were gone last year where were you,busy
busy,were you in jail
were you in jail,maybe
maybe,no you weren't
no you weren't,then why'd you ask
then why'd you ask,why'd you lie
i should do this,do what
do what,this
start a band,my father wouldn't approve of that
my father wouldn't approve of that,you don't strike me as the type that would ask permission
oh so now you think you know me,i'm getting there
so what's up with your dad he a pain in the ass,he just wants me to be someone i'm not
he just wants me to be someone i'm not,who
who,Bianca
Bianca,no offense but you're sister is without i know everyone likes her and all but
excuse me have you seen the feminine mystique i lost my copy,what are you doing here
what are you doing here,i heard there was a poetry reading
i heard there was a poetry reading,you're so
you re so,pleasant
wholesome,unwelcome
unwelcome,unwelcome i guess someone still has her panties in a twist
unwelcome i guess someone still has her panties in a twist,don't for one minute think that you had any effect whatsoever on my panties
don't for one minute think that you had any effect whatsoever on my panties,so what did i have an effect on
so what did i have an effect on,other than my upchuck reflex nothing
he left i sprung the dickhead and he cruised on me,look up sunshine
i guess i never told you i'm afraid of heights,it's not that bad
it's not that bad,try looking at it from this angle
put your right foot there,forget it i'm staying
forget it i'm staying,you want me to climb up and show you how to get down
you want me to climb up and show you how to get down,maybe
the partridge family,i figured it had to be something ridiculous to win your respect and piss you off
i figured it had to be something ridiculous to win your respect and piss you off,good call
good call,so how'd you get him to look the other way
so how'd you get him to look the other way,i dazzled him with my wit
a soft side who knew,yeah well don't let it get out
yeah well don't let it get out,so what's your excuse
so what's your excuse,acting the way we do
acting the way we do,yes
yes,i don't like to do what people expect then they expect it all the time and they get disappointed when you change
i don't like to do what people expect then they expect it all the time and they get disappointed when you change,so if you disappoint them from the start you're covered
so if you disappoint them from the start you're covered,something like that
something like that,then you screwed up
then you screwed up,how
how,you never disappointed me
you up for it,for
state trooper,fallacy
fallacy,the duck
the duck,hearsay
hearsay,i know the porn career's a lie
tell me something true,i hate peas
i hate peas,no something real something no one else knows
no something real something no one else knows,you're sweet and sexy and completely hot for me
you're sweet and sexy and completely hot for me,what
what,no one else knows
no one else knows,you're amazingly self assured has anyone ever told you that
you're amazingly self assured has anyone ever told you that,go to the prom with me
is that a request or a command,you know what i mean
you know what i mean,no
no,no what
no what,no i won't go with you
no i won't go with you,why not
why not,because i don't want to it's a stupid tradition
create a little drama start a new rumor what,so i have to have a motive to be with you
so i have to have a motive to be with you,you tell me
you tell me,you need therapy has anyone ever told you that
you need therapy has anyone ever told you that,answer the question Patrick
answer the question Patrick,nothing there's nothing in it for me just the pleasure of your company
how'd you get a tux at the last minute,it's scurvy's his date got convicted where'd you get the dress
it's scurvy's his date got convicted where'd you get the dress,it's just something i had you know
it's just something i had you know,oh
oh,look i'm sorry that i questioned your motives i was wrong
my grandmother's,what
what,that's where i was last year she'd never lived alone my grandfather died i stayed with her i wasn't in jail i don't know Marilyn Manson and i've never slept with a spice girl i spent a year sitting next to my grandma on the couch watching wheel of fortune end of story
that's completely adorable,it gets worse you still have your freshman yearbook
wait i,you were paid to take me out by the one person i truly hate i knew it was a setup
you were paid to take me out by the one person i truly hate i knew it was a setup,it wasn't like that
it wasn't like that,really what was it like a down payment now then a bonus for sleeping with me
really what was it like a down payment now then a bonus for sleeping with me,i didn't care about the money
besides i had some extra cash some asshole paid me to take out a really great girl,is that right
is that right,yeah but then i fucked up i fell for her
why is my veggie burger the only burnt object on this grill,because i like to torture you
because i like to torture you,Bianca can you get me my freshman yearbook
Bianca can you get me my freshman yearbook,don't you even dare
i know,i thought we decided you were going to school here
i thought we decided you were going to school here,you decided
this from someone whose diary is devoted to favorite grooming tips,enough
my insurance does not cover that,then tell them i had a seizure
then tell them i had a seizure,is this about Sarah Lawrence you punishing me
is this about Sarah Lawrence you punishing me,i thought you were punishing me
i thought you were punishing me,why can't we agree on this
why can't we agree on this,because you're making decisions for me
because you're making decisions for me,as a parent that's my right
as a parent that's my right,so what i want doesn't matter
so what i want doesn't matter,you're eighteen you don't know what you want you won't know until you're forty five and you don't have it
you're eighteen you don't know what you want you won't know until you're forty five and you don't have it,i want to go to an east coast school i want you to trust me to make my own choices i want
was that your sister,yeah she left with some bikers big ones full of sperm
yeah she left with some bikers big ones full of sperm,funny
i don't understand the allure of dehydrated food is this something i should be hip to,no daddy
no daddy,so tell me about this dance was it fun
so tell me about this dance was it fun,parts of it
parts of it,which parts
which parts,the part where Bianca beat the hell out of some guy
the part where Bianca beat the hell out of some guy,Bianca did what
Bianca did what,what's the matter upset that i rubbed off on her
what's the matter upset that i rubbed off on her,no impressed
you know fathers don't like to admit that their daughters are capable of running their own lives it means we've become spectators Bianca still lets me play a few innings you've had me on the bleachers for years when you go to Sarah Lawrence i won't even be able to watch the game,when i go
when i go,oh christ don't tell me you've changed your mind i already sent them a check
Katarina Stratford my my you've been terrorizing Ms.Blaise again,expressing my opinion is not a terrorist action
expressing my opinion is not a terrorist action,well yes compared to your other choices of expression this year today's events are quite mild by the way Bobby Rictor's gonad retrieval operation went quite well in case you're interested
well yes compared to your other choices of expression this year today's events are quite mild by the way Bobby Rictor's gonad retrieval operation went quite well in case you're interested,i still maintain that he kicked himself in the balls i was merely a spectator
i still maintain that he kicked himself in the balls i was merely a spectator,the point is Kat people perceive you as somewhat
tempestuous,no i believe heinous bitch is the term used most often
am i supposed to feel better like right now or do i have some time to think about it,just smack her now
hey there tired of breathing,hi
hi,cool pictures you a fan
cool pictures you a fan,yeah i guess
you think,oh yeah
Macbeth right,right
right,Kat a fan too
Kat a fan too,yeah
say it,what
what,whatever the hell it is you're standing there waiting to say
what plan,the situation is my man Cameron here has a major jones for Bianca Stratford
the situation is my man Cameron here has a major jones for Bianca Stratford,what is it with this chick she have three tits
i think i speak correctly when i say that cameron's love is pure purer than say Joey Dorsey's,Dorsey can plow whoever he wants i'm just in this for the cash
that's where we can help you with Kat,so Dorsey can get the girl
so Dorsey can get the girl,Patrick you're not looking at the big picture Joey's just a pawn we set this whole thing up so Cameron can get the girl
you two are gonning help me tame the wild beast,we're your guys
what,good enough
are you telling me i'm a nonsmoker,just for now
ever been to club skunk,yeah
i prefer to think of it simply as an alternative to what the law allows,i'm liking you guys better
so you got cozy with she who stings,no i've got a sweet paying job that i'm about to lose
you were right she's still pissed,sweet love renew thy force
sweet love renew thy force,man don't say shit like that to me people can hear you
i missed you,it says here you exposed yourself to a group of freshmen girls
it says here you exposed yourself to a group of freshmen girls,it was a bratwurst i was eating lunch
it was a bratwurst i was eating lunch,with the teeth of your zipper
i don't understand patrick you haven't done anything asinine this week are you not feeling well,touch of the flu
touch of the flu,i'm at a loss then what should we talk about your year of absence
why don't we discuss your driving need to be a hemorrhoid,what's to discuss
what's to discuss,you weren't abused you aren't stupid and as far as i can tell you're only slightly psychotic so why is it that you're such a fuck up
you weren't abused you aren't stupid and as far as i can tell you're only slightly psychotic so why is it that you're such a fuck up,well you know there's the prestige of the job title and the benefits package is pretty good
you're completely demented,see you next week
in the microwave,make anyone cry today
what's a synonym for throbbing,Sarah Lawrence is on the other side of the country
jesus can a man even grab a sandwich before you women start dilating,tumescent
tumescent,you're not helping
would you rather be ravished by a pirate or a british rear admiral,pirate no question
they'll dance they'll kiss they'll come home let her go,kissing is that what you think happens kissing isn't what keeps me up to my elbows in placenta all day
what do you wanna watch we've got crap or crap,Dr.Ruth
have a great time honey,but who what
what just happened,your daughters went to the prom
your daughters went to the prom,did i have anything to say about it
did i have anything to say about it,absolutely not
absolutely not,that's what i thought
i never seen heat like this not even in the summer,the water's going putrid in the barrels
the water's going putrid in the barrels,you'll be drinking your own piss for the glory of Spain and admiral colon bastard
what are you listening to chicken,leave him alone he's doing no harm
leave him alone he's doing no harm,with a face like that i don't want you looking at me you hear
he's the devil's child,we'll all go crazy
we should have seen land,we left three weeks ago Alonso can't be that near
we left three weeks ago Alonso can't be that near,can't be that far i say also i don't like the smell of the sea around here smells like a bad sign
you say Asia can be found by sailing west,yes your eminence the voyage should not take more than six or seven weeks
yes your eminence the voyage should not take more than six or seven weeks,unfortunately that is precisely where our opinions differ are you familiar with the work of Aristotle Erathostene Ptolemeus
unfortunately that is precisely where our opinions differ are you familiar with the work of Aristotle Erathostene Ptolemeus,i am your eminence
i am your eminence,then you cannot ignore that according to their calculations the circumference of the earth is approximately leagues or more which makes the ocean uncrossable
senior captain an experienced captain such as yourself will understand our concern with the crew i am not willing to have on my conscience the loss of men who would have relied upon our judgment,excellency you are right
your eminence there is only one way to settle the matter and that is to make the journey i am ready to risk my life to prove it possible,your life and that of others
your life and that of others,if they agree to follow me yes
trade your excellency according to the kingdom of china is one of the richest of the world even the meanest buildings are roofed with gold,is that all that interests you gold
is that all that interests you gold,no the Portuguese have already discovered black skinned people i too will find other populations and bring them to the word of god
if god intended our proximity to Asia do you believe he would have waited for you to show it to the world,did he not choose a carpenter's son to reveal himself to the world
don't you realize your words could be considered heretical,blind faith is what i consider heresy
Asia can be found to the west and i will prove it,if god will sit
the state has some reason to be interested in this man's proposition your eminence,the judgment is ours
the judgment is ours,naturally but i would really deplore the loss of such a potential opportunity for Spain for a dispute over a point of geography
he is a mercenary did he not already try to convince the king of Portugal of his absurd notions,indeed the world is full of mercenaries and states often make use of them when it benefits them my only concern is the welfare and prosperity ofSpain
it won't be easy to get rid of your prophet,on the contrary your eminence it seems to me the man is preparing his own cross
you can see for yourself,what a tragedy what a waste of a life
what a tragedy what a waste of a life,a waste let me tell you something if your name or mine is ever remembered it will only be because of his
i could be gone for years,i know
i know,i haven't given you much of a life
i haven't given you much of a life,well that's true i have a child by a man who won't marry me who's always leaving
well that's true i have a child by a man who won't marry me who's always leaving,are we going to argue
are we going to argue,i'd love to argue with you sometime but you're never here
perhaps i was never meant to live with a woman,i find that hard to believe
she said yes,thank god
i'm not asking you to swear to anything,i don't want you to wait for me
i don't want you to wait for me,that's something you can't decide
i want to ask you something,you don't usually ask
you don't usually ask,i can arrange for the queen to take Fernando and Diego into her service
god you're so beautiful i can't believe no other man has ever taken you away from me,they tried but i didn't let them
they took everything,not everything do you think i care i'm a free man again riches don't make a man rich they only make him busier
can't you stay with us a little,i am busy inside
what is it now tell me,i can't keep my eyes off you i would like to catch up with all the moments i didn't spend with you
i understand that you will soon be appointing governors for the islands is it not so,forgive me those positions have already been taken
forgive me those positions have already been taken,may i ask by whom
may i ask by whom,Bartolome and Giacomo Colon
my letters of appointment,appointment to what
appointment to what,viceroy of the west Indies
viceroy of the west Indies,congratulations then i am free to search for the mainland
how far from here,i am not a seaman but i heard it is no more than a week at sea i hope you are not too disappointed
i am not a seaman but i heard it is no more than a week at sea i hope you are not too disappointed,how could i be the mainland has been found exactly as i said it would
how could i be the mainland has been found exactly as i said it would,i am afraid this is not the worst news
i want to go with you,there'll be a time
there'll be a time,you promised do you swear
do you swear on all the holy saints in heaven,yes i do on all of them
i have to explore the mainland,this time with me
how are you feeling,not bad
father,there must be a passage to that other ocean
what are you listening to,i am not listening father but i can't help hearing
what does he say,he asks when he can come to visit you he left his address
